State_Code,County,County_Seat,Latitude,Longitude
GA, Cook,Adel,31.124811,-83.425467
GA, Wheeler,Alamo,32.147606,-82.779772
GA, Dougherty,Albany,31.578117,-84.176224
GA, Bacon,Alma,31.543326,-82.475577
GA, Sumter,Americus,32.074377,-84.222829
GA, Columbia,Appling,33.570957,-82.310155
GA, Turner,Ashburn,31.709191,-83.652424
GA, Clarke,Athens,33.949597,-83.370088
GA, Fulton,Atlanta,33.762909,-84.422675
GA, Richmond,Augusta,33.365531,-82.073422
GA, Decatur,Bainbridge,30.904933,-84.573047
GA, Lamar,Barnesville,33.048653,-84.149284
GA, Appling,Baxley,31.764753,-82.349254
GA, Pierce,Blackshear,31.290824,-82.252927
GA, Union,Blairsville,34.875666,-83.95466
GA, Early,Blakely,31.380935,-84.927059
GA, Fannin,Blue Ridge,34.866495,-84.321854
GA, Glynn,Brunswick,31.136149,-81.466936
GA, Haralson,Buchanan,33.80053,-85.179809
GA, Marion,Buena Vista,32.318481,-84.517564
GA, Taylor,Butler,32.557194,-84.23733
GA, Grady,Cairo,30.879229,-84.205505
GA, Gordon,Calhoun,34.490806,-84.939319
GA, Mitchell,Camilla,31.234057,-84.209563
GA, Cherokee,Canton,34.247201,-84.490723
GA, Franklin,Carnesville,34.375266,-83.227532
GA, Carroll,Carrollton,33.58169,-85.083983
GA, Bartow,Cartersville,34.164579,-84.801704
GA, Polk,Cedartown,34.021749,-85.247531
GA, Murray,Chatsworth,34.781091,-84.782472
GA, Habersham,Clarkesville,34.609289,-83.52747
GA, Evans,Claxton,32.162075,-81.909659
GA, Rabun,Clayton,34.87663,-83.403256
GA, White,Cleveland,34.59704,-83.760707
GA, Bleckley,Cochran,32.387346,-83.351397
GA, Miller,Colquitt,31.173215,-84.732379
GA, Muscogee,Columbus,32.510197,-84.874946
GA, Rockdale,Conyers,33.666536,-83.997685
GA, Crisp,Cordele,31.95609,-83.770077
GA, Newton,Covington,33.605439,-83.846634
GA, Taliaferro,Crawfordville,33.554641,-82.896695
GA, Forsyth,Cumming,34.206067,-84.133848
GA, Chattahoochee,Cusseta,32.347445,-84.788021
GA, Randolph,Cuthbert,31.770686,-84.793575
GA, Lumpkin,Dahlonega,34.529909,-83.979579
GA, Paulding,Dallas,33.915618,-84.841556
GA, Whitfield,Dalton,34.767898,-84.972812
GA, Madison,Danielsville,34.123973,-83.22036
GA, McIntosh,Darien,31.343489,-81.424103
GA, Terrell,Dawson,31.771864,-84.443499
GA, Dawson,Dawsonville,34.433581,-84.124476
GA, DeKalb,Decatur,33.771067,-84.295784
GA, Seminole,Donalsonville,31.039691,-84.878424
GA, Coffee,Douglas,31.506114,-82.854335
GA, Douglas,Douglasville,33.73678,-84.701074
GA, Laurens,Dublin,32.535471,-82.928807
GA, Dodge,Eastman,32.197561,-83.170658
GA, Putnam,Eatonton,33.325821,-83.388862
GA, Elbert,Elberton,34.106816,-82.872686
GA, Schley,Ellaville,32.237662,-84.309114
GA, Gilmer,Ellijay,34.691322,-84.483921
GA, Fayette,Fayetteville,33.449099,-84.472824
GA, Ben Hill,Fitzgerald,31.71306,-83.25087
GA, Charlton,Folkston,30.839247,-82.007248
GA, Monroe,Forsyth,33.035294,-83.938934
